6/10/2000,"Menasha, Wisconsin",,,Drums In The Hood,,,,,,,,
,General Effect 1,General Effect 2,,Visual Proficiency,Visual Analysis,Color Guard, ,Brass,Music Analysis,Percussion,,Total
MadisonScouts,12.40,13.60,26.00,11.60,14.00,13.00,19.30,16.20,13.40,11.50,20.55,65.85
Pioneer,8.80,12.00,20.80,10.80,12.50,9.80,16.55,13.50,10.80,10.90,17.60,54.95
CapitalSound,9.30,10.10,19.40,10.10,10.70,9.00,14.90,9.90,6.60,9.40,12.95,47.25
BlueStars,7.40,9.00,16.40,7.30,10.40,8.60,13.15,7.20,7.10,10.40,12.35,41.90
Kilties,8.10,8.70,16.80,6.80,9.40,6.20,11.20,7.50,5.60,6.10,9.60,37.60
RacineScouts,5.10,6.00,11.10,6.60,6.80,0.00,6.70,4.60,5.30,3.20,6.55,24.35
,,,,,,,,,,,,
6/16/2000,"Oswego, Illinois",,,Drums up In the Mountains,,,,,,,,
,General Effect 1,General Effect 2,,Visual Proficiency,Visual Analysis,Color Guard, ,Brass,Music Analysis,Percussion,,Total
TheCavaliers,13.80,13.30,27.10,14.70,15.30,14.60,22.30,14.70,16.50,14.90,23.05,72.45
PhantomRegiment,12.20,13.70,25.90,14.50,14.70,12.90,21.05,13.60,15.40,14.30,21.65,68.60
Colts,12.70,12.50,25.20,13.60,14.40,11.40,19.70,12.00,12.50,13.40,18.95,63.40
Pioneer,9.50,11.10,20.60,13.40,12.20,9.00,17.30,11.00,10.60,12.80,17.20,55.10
CapitalSound,8.30,9.60,17.90,11.00,10.60,8.10,14.85,10.60,8.10,9.50,14.10,46.85
BlueStars,7.30,9.00,16.30,10.20,9.40,6.90,13.25,10.40,8.60,10.10,14.55,44.10
Kilties,7.00,8.50,15.50,7.10,8.70,5.00,10.20,9.00,6.20,7.20,11.20,37.40
JolietKingsmen,5.20,4.70,9.90,5.80,3.50,5.20,7.25,2.40,3.30,4.70,5.20,22.35
,,,,,,,,,,,,
6/17/2000,"Concord, California",,,Brass Blasting the Town,,,,,,,,
,General Effect 1,General Effect 2,,Visual Proficiency,Visual Analysis,Color Guard, ,Brass,Music Analysis,Percussion,,Total
BlueDevils,14.50,15.00,29.50,15.10,13.60,14.90,21.20,16.30,14.60,13.60,22.25,73.55
SantaClaraVanguard,13.80,14.40,28.20,13.80,12.90,14.30,20.50,15.20,13.90,13.10,21.10,69.80
Mandarins,12.60,11.50,24.10,12.70,11.40,13.00,18.55,14.60,12.50,12.80,19.95,62.60
VanguardCadets,13.00,11.20,24.20,10.60,11.00,11.70,16.65,13.70,13.00,12.10,19.40,60.25
BlueDevilsB,11.70,10.10,21.80,10.20,10.30,11.20,15.55,12.50,10.30,9.70,16.25,53.90
PatriotsPraise,8.30,5.90,14.20,7.30,5.70,9.50,11.25,6.40,7.90,9.00,11.65,37.10
Renegades,11.40,10.90,22.30,10.00,9.60,9.70,14.65,14.00,16.30,8.40,19.35,56.30
,,,,,,,,,,,,
6/17/2000,"Racine, Wisconsin",,,Show Title of the Century,,,,,,,,
,General Effect 1,General Effect 2,,Visual Proficiency,Visual Analysis,Color Guard, ,Brass,Music Analysis,Percussion,,Total
MinnesotaBrass,10.00,11.30,21.30,10.40,12.70,10.90,17.00,11.80,10.80,15.70,19.15,57.45
CapitalSound,9.00,10.10,19.10,8.90,10.80,7.80,13.75,11.10,6.50,10.80,14.20,47.05
BlueStars,8.70,8.70,17.40,8.00,9.90,7.30,12.60,10.70,7.20,10.30,14.10,44.1
Kilties,7.00,8.90,15.90,6.90,9.00,6.10,11.00,9.00,5.70,6.50,10.60,37.5
RacineScouts,6.20,6.10,12.30,6.40,4.70,3.20,7.15,6.10,3.80,3.70,6.80,26.25
JolietKingsmen,5.20,2.90,8.10,4.80,4.00,4.90,6.85,2.70,2.00,2.10,3.40,18.35
,,,,,,,,,,,,
6/17/2000,"Toledo, Ohio",,,This is the show of all shows,,,,,,,,
,General Effect 1,General Effect 2,,Visual Proficiency,Visual Analysis,Color Guard, ,Brass,Music Analysis,Percussion,,Total
TheCavaliers,14.20,15.20,29.40,14.50,14.40,15.10,22.00,14.00,14.60,14.60,21.60,73.00
Glassmen,13.90,13.40,27.30,14.70,14.10,14.20,21.50,12.60,12.50,13.90,19.50,68.30
MadisonScouts,13.60,14.10,27.70,14.10,13.30,13.10,20.25,13.20,14.40,13.50,20.55,68.50
