6/10/2000,"Menasha, Wisconsin",,,Drums In The Hood,,,,,,,,
PhantomRegiment,13.10,13.60,26.70,13.20,13.80,13.50,20.25,13.60,13.10,13.40,20.05,67.00
Colts,12.00,12.20,24.20,12.60,12.30,11.10,18.00,11.50,11.00,12.10,17.30,59.50
Southwind,10.10,11.80,21.90,11.40,11.40,10.30,16.55,10.80,11.30,11.60,16.85,55.30
Pioneer,9.90,10.40,20.30,10.60,11.00,9.60,15.60,9.40,10.00,11.00,15.20,51.10
Americanos,9.50,9.30,18.80,8.70,10.50,9.40,14.30,8.80,7.30,7.30,11.70,44.80
CapitalRegiment,8.80,8.20,17.00,7.50,9.60,9.70,13.40,5.50,6.40,8.80,10.35,40.75
CincinnatiGlory,7.50,8.50,16.00,8.40,8.70,9.10,13.10,8.00,6.20,7.10,10.65,39.75
,,,,,,,,,,,,
6/18/2000,"Butler, Pennsylvania",,,Here come the drums,,,,,,,,
,General Effect 1,General Effect 2,,Visual Proficiency,Visual Analysis,Color Guard, ,Brass,Music Analysis,Percussion,,Total
TheCavaliers,14.50,15.60,30.10,14.10,14.40,14.80,21.65,14.40,15.50,14.80,22.35,74.10
Colts,12.50,11.90,24.40,12.40,12.40,10.80,17.80,11.90,13.40,12.50,18.90,61.10
Pioneer,10.20,10.10,20.30,12.10,10.90,10.50,16.75,9.90,12.90,11.50,17.15,54.20
TarheelSun,9.00,10.30,19.30,8.90,10.60,8.00,13.75,8.60,11.70,7.70,14.00,47.05
Americanos,9.60,8.50,18.10,9.10,10.20,8.70,14.00,7.30,9.30,8.50,12.55,44.65
,,,,,,,,,,,,
6/18/2000,"Columbus, Ohio",,,Brass up your ass,,,,,,,,
,General Effect 1,General Effect 2,,Visual Proficiency,Visual Analysis,Color Guard, ,Brass,Music Analysis,Percussion,,Total
PhantomRegiment,13.60,13.00,26.60,13.70,13.20,14.30,20.60,13.70,13.70,14.00,20.70,67.90
MadisonScouts,13.30,12.70,26.00,14.30,12.90,13.70,20.45,13.60,14.10,13.40,20.55,67.00
Southwind,10.50,11.50,22.00,11.50,10.80,11.40,16.85,12.00,11.80,12.50,18.15,57.00
CapitalRegiment,8.50,8.40,16.90,7.20,7.40,9.40,12.00,6.00,7.90,11.10,12.50,41.40
CincinnatiGlory,7.70,8.60,16.30,8.00,7.90,10.30,13.10,8.30,6.70,9.30,12.15,41.55
,,,,,,,,,,,,
6/20/2000,"Lima, Ohio",,,The Jusdges knew this one trick when listening,,,,,,,,
,General Effect 1,General Effect 2,,Visual Proficiency,Visual Analysis,Color Guard, ,Brass,Music Analysis,Percussion,,Total
TheCadets,15.50,15.00,30.50,13.60,14.50,15.20,21.65,14.20,14.50,14.60,21.65,73.80
PhantomRegiment,13.80,14.40,28.20,13.00,13.50,13.30,19.90,13.80,13.80,15.00,21.30,69.40
Colts,12.90,12.70,25.60,12.10,12.50,11.60,18.10,11.60,12.00,13.30,18.45,62.15
Pioneer,11.40,10.80,22.20,9.70,11.20,10.50,15.70,10.40,11.20,13.00,17.30,55.20
GeneralButlerVagabonds,9.70,9.10,18.80,8.20,9.70,11.30,14.60,10.10,8.20,10.30,14.30,47.70
CapitalRegiment,8.80,8.40,17.20,6.40,9.50,9.80,12.85,6.20,7.30,11.00,12.25,42.30
CincinnatiGlory,8.30,8.20,16.50,7.60,10.20,10.30,14.05,7.20,6.80,9.40,11.70,42.25
,,,,,,,,,,,,
6/21/2000,"Marion, Ohio",,,Crowd Screaming Show for Corps,,,,,,,,
,General Effect 1,General Effect 2,,Visual Proficiency,Visual Analysis,Color Guard, ,Brass,Music Analysis,Percussion,,Total
TarheelSun,9.40,9.80,19.20,12.00,8.50,8.40,14.45,11.30,12.30,11.10,17.35,51.00
GeneralButlerVagabonds,9.60,8.20,17.80,12.00,9.00,10.40,15.70,10.80,8.70,10.90,15.20,48.70
Americanos,9.20,8.80,18.00,12.00,7.90,9.30,14.60,9.00,9.60,10.50,14.70,47.30
CincinnatiGlory,9.10,7.40,16.50,12.00,8.10,9.40,15.00,7.80,7.50,8.70,12.00,43.50
CapitalRegiment,8.50,7.80,16.30,12.00,6.80,9.60,14.20,5.80,7.90,11.30,12.50,43.00
,,,,,,,,,,,,
6/21/2000,"Normal, Illinois",,,Brass Theater,,,,,,,,
,General Effect 1,General Effect 2,,Visual Proficiency,Visual Analysis,Color Guard, ,Brass,Music Analysis,Percussion,,Total
TheCadets,15.10,15.30,30.40,15.70,15.10,15.80,23.30,15.00,14.40,14.90,22.15,75.85
TheCavaliers,14.80,14.90,29.70,15.40,14.80,15.30,22.75,14.70,13.20,14.80,21.35,73.80
PhantomRegiment,13.30,13.80,27.10,14.50,13.50,14.80,21.40,14.20,12.60,14.00,20.40,68.90
MadisonScouts,12.40,14.60,27.00,15.10,13.20,14.40,21.35,14.40,12.90,13.70,20.50,68.85
Colts,12.60,11.90,24.50,14.30,12.70,12.70,19.85,13.10,12.10,12.70,18.95,63.30
Southwind,11.30,11.80,23.10,13.50,11.30,12.40,18.60,12.80,11.00,11.70,17.75,59.45
Pioneer,9.90,11.10,21.00,10.50,10.50,11.50,17.55,12.00,10.10,11.50,16.80,55.35
,,,,,,,,,,,,
6/22/2000,"San Diego, California",,,Drums along the Railroad,,,,,,,,
,General Effect 1,General Effect 2,,Visual Proficiency,Visual Analysis,Color Guard, ,Brass,Music Analysis,Percussion,,Total
SantaClaraVanguard,13.60,15.80,29.40,12.20,13.20,15.10,20.25,14.70,15.10,15.80,22.80,72.45
Glassmen,13.80,14.40,28.20,13.30,13.00,14.30,20.30,14.20,14.40,15.00,21.80,70.30
BlueKnights,12.90,13.50,26.40,13.00,12.40,14.70,20.05,14.30,13.80,16.10,22.10,68.55
Troopers,10.50,10.20,20.70,9.50,9.40,12.50,15.70,11.10,10.20,13.20,17.25,53.65
PacificCrest,14.70,14.90,29.60,12.50,13.50,13.50,19.75,13.30,12.50,14.00,19.90,69.25
WestCoastSound,13.00,13.80,26.80,9.60,10.50,10.40,15.25,11.20,10.80,11.90,16.95,59.00
Esperanza,13.50,12.60,26.10,8.80,11.30,11.70,15.90,10.70,10.30,12.90,16.95,58.95
LegendofTexas,11.10,10.60,22.30,7.70,9.70,8.70,13.05,9.60,9.70,11.10,15.20,50.55
,,,,,,,,,,,,
6/22/2000,"Atlanta, Georgia",,,DCI Atlanta,,,,,,,,
,General Effect 1,General Effect 2,,Visual Proficiency,Visual Analysis,Color Guard, ,Brass,Music Analysis,Percussion,,Total
TheCadets,15.20,15.20,30.40,14.40,15.10,15.60,22.55,14.90,14.70,15.00,22.30,75.25
Crossmen,13.00,13.90,26.90,13.80,12.00,14.00,19.90,12.90,11.90,11.40,18.10,64.90
CarolinaCrown,13.50,11.70,25.20,12.00,13.50,12.50,19.00,12.40,11.70,12.40,18.25,62.45
SpiritofAtlanta,11.60,9.80,21.40,10.50,11.00,9.20,15.35,11.80,9.30,10.70,15.90,52.65
ScenicCity,6.20,6.40,12.60,4.80,4.40,4.50,6.85,6.30,5.50,7.00,9.40,28.85
,,,,,,,,,,,,
6/23/2000,"Glendora, California",,,Drums Out West with Brass,,,,,,,,
,General Effect 1,General Effect 2,,Visual Proficiency,Visual Analysis,Color Guard, ,Brass,Music Analysis,Percussion,,Total
BlueDevils,16.00,15.90,31.90,14.50,15.40,15.40,22.65,16.20,16.30,16.40,24.45,79.00
SantaClaraVanguard,15.00,15.20,30.20,12.50,13.80,14.90,20.60,14.60,14.80,15.80,22.60,73.40
Glassmen,14.80,14.20,28.00,13.50,14.20,14.80,21.25,14.50,14.50,15.20,22.15,72.40
BlueKnights,13.60,13.90,27.50,13.60,13.50,14.50,20.80,14.70,14.20,16.00,22.45,70.75
Troopers,10.80,10.50,21.30,9.90,9.00,11.00,14.95,13.90,10.70,13.20,18.90,55.75
PacificCrest,15.80,15.10,30.90,14.50,13.50,13.70,20.85,14.10,14.30,15.70,22.05,73.80
Mandarins,15.40,14.70,30.10,14.10,14.40,14.00,21.25,14.60,13.50,14.90,21.50,72.85
VanguardCadets,14.50,14.10,28.60,14.00,12.80,13.30,20.05,14.30,12.10,15.30,20.85,69.50
BlueDevilsB,14.10,12.50,26.60,13.30,12.90,13.50,19.85,13.50,10.60,14.20,19.15,65.60
WestCoastSound,13.60,13.30,26.90,10.70,11.30,12.90,17.45,13.90,10.90,12.20,18.50,62.85
Impulse,13.80,12.80,26.60,10.80,10.20,12.00,16.50,13.70,10.70,13.60,19.00,62.10
Esperanza,13.30,11.90,25.20,11.00,10.90,11.40,16.65,11.10,9.10,12.80,16.50,58.35
LegendofTexas,11.50,11.00,22.50,6.60,9.50,7.90,12.00,13.20,9.50,11.00,16.85,51.35
Alliance,11.20,9.80,21.00,6.40,8.10,5.80,10.15,8.60,6.80,8.80,12.10,43.25
PatriotsPraise,10.30,7.10,17.40,6.80,7.20,7.00,10.50,8.00,5.50,6.00,9.75,37.65
,,,,,,,,,,,,
6/23/2000,"LaPorte, Indiana",,,Lets Not forget about the Color Guard here,,,,,,,,
,General Effect 1,General Effect 2,,Visual Proficiency,Visual Analysis,Color Guard, ,Brass,Music Analysis,Percussion,,Total
Bluecoats,12.30,14.80,27.10,11.60,10.90,13.60,18.05,11.80,14.10,14.00,19.95,65.10
Southwind,11.30,12.40,23.70,11.80,11.90,12.80,18.25,11.60,11.80,12.80,18.00,59.95
CapitalSound,8.20,10.40,18.60,8.40,10.00,11.10,14.75,11.20,10.50,12.00,16.85,50.20
GeneralButlerVagabonds,10.00,7.70,17.70,8.70,9.40,11.40,14.75,10.80,9.50,11.10,15.70,48.15
CincinnatiGlory,8.50,9.30,17.80,9.20,8.50,13.00,15.35,7.40,8.70,9.10,12.60,45.75
CapitalRegiment,8.80,8.00,16.80,8.10,9.90,11.80,14.90,6.20,9.00,11.40,13.30,45.00
Bandettes,5.20,4.60,9.80,6.30,5.30,7.00,9.30,4.80,6.30,4.50,7.80,26.90
,,,,,,,,,,,,
6/23/2000,"SaintCloud,Minnesota",,,Drumming on a Cloud,,,,,,,,
,General Effect 1,General Effect 2,,Visual Proficiency,Visual Analysis,Color Guard, ,Brass,Music Analysis,Percussion,,Total
TheCavaliers,15.30,15.30,30.60,15.20,14.50,15.50,22.60,14.70,13.30,15.10,21.55,74.75
PhantomRegiment,13.50,14.20,27.70,14.00,12.80,14.60,20.70,14.30,12.60,14.10,20.50,68.90
MinnesotaBrass,11.50,11.30,22.80,8.30,10.10,7.40,12.90,11.90,8.80,13.20,16.95,52.65
BlueStars,8.20,8.90,17.10,9.40,9.30,8.70,13.70,10.80,8.40,10.80,15.00,45.80
Americanos,8.90,9.70,18.60,8.80,8.90,7.90,12.80,8.60,7.30,10.00,12.95,44.35
Govenaires,7.80,8.30,16.10,7.80,8.60,7.20,11.80,7.10,6.60,7.50,10.60,38.50
,,,,,,,,,,,,
6/24/2000,"Alexandria, Minnesota",,,Drumming up North,,,,,,,,
,General Effect 1,General Effect 2,,Visual Proficiency,Visual Analysis,Color Guard, ,Brass,Music Analysis,Percussion,,Total
TheCavaliers,15.70,15.50,31.20,15.90,15.20,16.20,23.65,14.70,14.20,15.30,22.10,76.95
PhantomRegiment,13.90,14.60,28.50,14.30,14.00,15.10,21.70,14.40,12.90,14.40,20.85,71.05
MinnesotaBrass,12.30,11.40,23.70,11.30,10.70,7.30,14.65,11.90,10.40,13.40,17.85,56.20
BlueStars,8.70,9.10,17.80,10.10,9.10,9.00,14.10,10.00,9.10,11.20,15.15,47.05
Americanos,9.10,8.50,17.60,10.60,8.60,8.30,13.75,9.60,7.60,9.70,13.45,44.80
Govenaires,8.30,8.60,16.90,8.30,7.70,7.50,11.75,8.10,6.70,7.80,11.30,39.95
"Chops,Inc.",7.30,6.80,14.10,7.50,6.20,3.30,8.50,6.70,5.30,6.40,9.20,31.80
,,,,,,,,,,,,
6/24/2000,"Malden, Massachusetts",,,Drumming with Witches,,,,,,,,
,General Effect 1,General Effect 2,,Visual Proficiency,Visual Analysis,Color Guard, ,Brass,Music Analysis,Percussion,,Total
Spartans,13.60,14.30,27.90,13.70,9.80,11.00,17.25,13.30,13.90,12.50,19.85,65.00
JerseySurf,13.20,14.50,27.70,14.50,10.40,9.80,17.35,12.90,14.30,13.20,19.75,64.80
EastCoastJazz,12.50,13.90,26.40,12.70,9.00,10.20,15.95,12.70,13.50,11.20,18.70,61.05
KnightStorm,11.20,12.20,23.40,12.00,8.30,7.60,13.95,11.80,12.10,11.40,17.65,55.00
Quest,10.60,11.80,22.40,11.50,7.10,9.10,13.85,11.00,11.30,9.30,15.80,52.05
CadetsofNewYorkCity,9.30,11.00,20.30,10.90,6.40,5.60,11.45,12.10,10.70,11.80,17.30,49.05
,,,,,,,,,,,,
6/24/2000,"Riverside, California",,,Brass on the Riverside,,,,,,,,
,General Effect 1,General Effect 2,,Visual Proficiency,Visual Analysis,Color Guard, ,Brass,Music Analysis,Percussion,,Total
BlueDevils,16.10,16.00,32.10,16.00,15.00,16.20,23.60,16.60,16.50,15.60,24.35,80.05
Glassmen,14.50,15.10,29.80,15.10,13.90,15.10,22.05,15.00,14.90,15.00,22.45,74.10
SantaClaraVanguard,14.00,15.30,29.30,15.00,13.40,15.30,21.85,15.30,15.30,14.70,22.65,73.80
BlueKnights,14.10,14.50,28.60,14.70,13.00,14.70,21.20,14.50,14.50,15.10,22.05,71.85
Troopers,10.30,11.20,21.50,11.30,9.40,11.60,16.15,13.90,10.90,12.30,18.55,56.20
PacificCrest,15.40,14.60,30.00,13.80,15.00,15.10,21.95,14.30,14.50,12.90,20.85,72.80
Mandarins,15.60,14.20,29.80,14.10,14.70,14.90,21.85,13.70,13.40,13.80,20.45,72.10
VanguardCadets,13.70,13.50,27.20,13.90,14.80,13.00,20.85,14.00,12.50,14.00,20.25,68.30
BlueDevilsB,13.90,10.50,24.40,13.30,13.50,14.00,20.40,12.20,11.40,12.30,17.95,62.75
Impulse,13.10,10.80,23.90,11.90,13.00,11.40,18.15,12.50,10.80,13.20,18.25,60.30
WestCoastSound,12.70,11.60,24.30,12.20,11.20,11.80,17.60,12.90,11.00,11.90,17.90,59.80
Esperanza,13.00,11.20,24.20,11.80,10.90,12.20,17.45,10.30,9.40,11.00,15.35,57.00
LegendofTexas,10.40,9.60,20.00,8.00,9.50,8.20,12.85,10.70,9.70,10.30,15.35,48.20
Alliance,8.90,9.20,18.10,7.10,9.90,7.20,12.10,8.50,8.10,8.70,12.65,42.85
PatriotsPraise,9.20,5.10,14.30,6.60,7.80,7.50,10.95,8.20,7.60,6.90,11.35,36.60
,,,,,,,,,,,,
6/25/2000,"Costa, Mesa, California",,,Brass and Flags on the Coast,,,,,,,,1
,General Effect 1,General Effect 2,,Visual Proficiency,Visual Analysis,Color Guard, ,Brass,Music Analysis,Percussion,,Total
BlueDevils,16.20,16.41,32.80,15.10,16.10,16.50,23.85,15.60,16.30,16.80,24.35,80.80
Glassmen,14.80,15.10,29.90,13.70,15.00,16.10,22.40,15.10,14.60,16.00,22.85,75.15
SantaClaraVanguard,14.10,15.20,29.30,13.30,14.70,15.00,21.95,15.00,15.00,15.90,22.95,74.20
BlueKnights,13.40,15.50,28.90,14.00,13.80,15.70,21.75,14.70,14.30,15.30,22.15,72.80
Troopers,10.90,13.10,24.00,10.00,10.70,11.90,16.30,11.40,11.00,13.50,17.95,58.25
PacificCrest,15.00,15.50,30.50,13.50,15.40,15.40,22.15,15.00,14.10,15.10,22.10,74.75
Mandarins,14.30,15.10,29.40,13.20,15.00,14.70,21.45,14.20,13.70,14.80,21.35,72.20
VanguardCadets,13.80,14.00,27.80,12.70,15.20,13.80,20.85,14.40,12.00,14.00,20.20,68.85
BlueDevilsB,14.00,13.70,27.70,12.20,13.40,13.90,19.75,13.80,10.30,13.30,18.70,66.15
WestCoastSound,12.90,12.70,25.60,10.20,11.50,12.30,17.00,13.10,11.40,13.20,18.85,61.45
Impulse,11.80,13.30,25.10,9.30,12.90,11.60,16.90,12.60,11.10,12.10,17.90,59.90
Esperanza,12.60,11.40,24.00,9.50,11.10,12.10,16.35,12.90,8.80,12.50,17.10,57.45
LegendofTexas,10.30,10.80,21.10,8.20,8.30,8.30,12.40,11.00,9.70,10.80,15.75,49.25
Alliance,9.40,10.40,19.80,7.60,9.70,6.70,12.00,10.50,6.90,10.60,14.00,45.80
,,,,,,,,,,,,
6/25/2000,"Geneva, Illinois",,,A Convention of Sound,,,,,,,,1
,General Effect 1,General Effect 2,,Visual Proficiency,Visual Analysis,Color Guard, ,Brass,Music Analysis,Percussion,,Total
TarheelSun,10.00,9.30,19.30,10.10,11.00,10.40,15.75,10.70,11.90,11.70,17.15,52.20
GeneralButlerVagabonds,10.40,7.70,18.10,9.10,10.60,10.80,15.25,10.40,10.40,11.20,16.00,49.35
CapitalRegiment,9.00,8.80,17.80,8.90,10.50,9.50,14.45,8.40,10.10,10.90,14.70,46.85
MemorialLancers,7.60,6.40,14.00,5.50,6.60,8.80,10.45,6.70,9.10,6.00,10.90,35.35
Bandettes,6.20,2.50,8.70,5.40,6.90,9.30,10.80,5.60,9.40,4.90,9.95,29.45
JolietKingsmen,5.90,2.40,8.30,4.60,5.40,7.50,8.75,5.00,5.60,4.60,7.60,24.65
,,,,,,,,,,,,
6/25/2000,"Orlando, Florida",,,It Mightr Be Humid Here but Let's Blow Hot Air Anyway,,,,,,,,1
,General Effect 1,General Effect 2,,Visual Proficiency,Visual Analysis,Color Guard, ,Brass,Music Analysis,Percussion,,Total
TheCadets,15.90,15.40,31.30,15.10,15.60,16.00,23.35,15.40,15.10,14.70,22.60,77.25
CarolinaCrown,13.30,13.00,26.30,12.60,13.80,15.10,20.75,12.80,11.90,13.20,18.95,66.00
Crossmen,13.80,13.30,27.10,13.10,13.00,14.70,20.40,13.20,12.20,11.10,18.25,65.75
SpiritofAtlanta,9.90,10.90,20.80,10.60,11.10,10.10,15.90,12.10,9.70,10.50,16.15,52.85
TealSound,7.60,8.10,15.70,8.00,8.80,7.00,11.90,10.60,7.40,8.10,13.05,40.65
TampaBayThunder,7.80,7.70,14.50,8.80,9.30,7.90,13.00,7.60,6.70,9.50,11.90,39.40
,,,,,,,,,,,,
6/25/2000,"Wisconsin Rapids, Wisconsin",,,Brass Rapids,,,,,,,,1
,General Effect 1,General Effect 2,,Visual Proficiency,Visual Analysis,Color Guard, ,Brass,Music Analysis,Percussion,,Total
Bluecoats,13.40,12.40,25.80,13.00,13.30,12.50,19.40,12.00,12.20,14.00,19.10,64.30
Colts,13.90,10.70,24.60,12.40,13.80,12.80,19.50,11.80,11.50,13.30,18.30,62.40
Pioneer,11.80,8.50,20.30,11.50,12.80,10.30,17.30,11.10,10.40,12.90,17.20,54.80
BlueStars,8.90,8.90,17.80,10.40,10.70,9.70,15.40,9.60,9.30,11.30,15.10,48.30
Americanos,9.20,7.90,17.10,10.00,9.30,8.80,14.05,9.90,8.80,11.90,15.30,46.45
CincinnatiGlory,8.80,6.30,15.10,8.80,10.10,10.80,14.85,10.10,7.20,10.60,13.95,43.90
ColtCadets,5.70,3.30,9.00,4.70,4.30,5.40,7.20,3.00,6.30,6.60,7.95,24.15
,,,,,,,,,,,,
6/25/2000,"Woodstock, Illinois",,,A Festival of Corps,,,,,,,,1
,General Effect 1,General Effect 2,,Visual Proficiency,Visual Analysis,Color Guard, ,Brass,Music Analysis,Percussion,,Total
MadisonScouts,14.10,15.10,29.20,14.00,14.00,13.80,20.90,16.30,16.60,14.20,23.55,73.65
Southwind,12.30,12.80,25.10,11.80,10.90,10.70,16.70,11.90,15.00,12.10,19.50,61.30
CapitalSound,9.80,11.30,21.10,10.40,8.30,8.40,13.55,9.80,13.90,10.20,16.95,51.60
Kilties,8.00,8.00,16.00,8.20,6.90,5.20,10.15,9.60,8.60,6.40,12.30,38.45
RacineScouts,6.00,2.80,8.80,7.00,4.10,2.70,6.90,6.90,7.00,4.50,9.20,24.90
,,,,,,,,,,,,
6/27/2000,"Brunswick, Georgia",,,Brass in Brunswick with Bowling,,,,,,,,3
,General Effect 1,General Effect 2,,Visual Proficiency,Visual Analysis,Color Guard, ,Brass,Music Analysis,Percussion,,Total
TheCadets,15.90,15.40,31.30,15.30,15.00,16.80,23.55,15.90,16.10,14.50,23.25,78.10
Crossmen,14.10,13.70,27.80,12.50,12.90,15.70,20.55,14.20,12.90,11.60,19.35,67.70
CarolinaCrown,13.60,13.00,26.60,13.20,13.30,15.30,20.90,13.40,12.40,13.50,19.65,67.15
SpiritofAtlanta,11.50,11.30,22.80,11.30,11.00,10.60,16.45,12.20,10.30,11.10,16.80,56.05
TampaBayThunder,11.10,10.20,21.30,10.60,10.00,10.30,15.45,11.00,10.50,10.60,16.05,52.80
TealSound,10.30,10.70,21.00,11.90,9.10,10.50,15.75,11.90,10.20,9.90,16.00,52.75
,,,,,,,,,,,,
6/27/2000,"Charles City, Iowa",,,Charles Corps,,,,,,,,3
,General Effect 1,General Effect 2,,Visual Proficiency,Visual Analysis,Color Guard, ,Brass,Music Analysis,Percussion,,Total
MadisonScouts,13.40,13.10,26.50,15.20,14.40,14.10,21.85,15.10,14.20,13.90,21.60,69.95
Bluecoats,12.50,12.60,25.10,13.90,13.50,14.30,20.85,12.50,14.50,14.50,20.75,66.70
Colts,12.80,11.60,24.40,13.90,13.80,12.40,20.05,12.20,13.70,13.00,19.45,63.90
Southwind,11.70,11.20,22.90,14.40,13.00,12.70,20.05,12.10,13.10,12.10,18.65,61.60
BlueStars,9.20,9.20,18.40,10.50,11.40,11.00,16.45,11.00,9.30,11.50,15.90,50.75
CapitalRegiment,8.20,7.80,16.00,10.70,10.40,8.40,14.75,8.10,8.20,11.00,13.65,44.40
ColtCadets,4.50,3.90,8.40,3.90,5.60,5.90,7.70,3.50,5.00,4.20,6.35,22.45
DecorahKilties,3.10,3.10,6.20,4.80,5.80,3.70,7.15,3.10,4.50,4.80,6.20,19.55
,,,,,,,,,,,,
6/27/2000,"Rosemount, Minnesota",,,Mounting Roses with Drums,,,,,,,,3
,General Effect 1,General Effect 2,,Visual Proficiency,Visual Analysis,Color Guard, ,Brass,Music Analysis,Percussion,,Total
PhantomRegiment,13.60,17.00,30.60,14.40,14.30,15.40,22.05,15.00,14.60,15.30,22.45,75.10
Pioneer,11.50,14.20,25.70,13.00,13.00,12.90,19.45,11.80,11.60,11.10,17.25,62.40
MinnesotaBrass,11.10,11.40,22.50,11.90,11.00,13.00,17.95,12.40,13.90,12.00,19.15,59.60
Americanos,10.30,10.20,20.50,11.10,9.60,11.50,16.10,10.10,10.00,9.30,14.70,51.30
CincinnatiGlory,8.70,11.00,19.70,10.20,10.20,11.70,16.05,10.50,9.70,7.50,13.85,49.60
Govenaires,7.50,6.80,14.30,8.50,7.90,11.40,13.90,8.40,8.70,6.50,11.80,40.00
"Chops,Inc.",6.00,7.20,13.20,7.20,6.50,4.00,8.85,5.70,8.00,5.70,9.70,31.75
,,,,,,,,,,,,
6/28/2000,"Duncan, South Carolina",,,Duncan Got Cut from Crown,,,,,,,,4
,General Effect 1,General Effect 2,,Visual Proficiency,Visual Analysis,Color Guard, ,Brass,Music Analysis,Percussion,,Total
TheCadets,16.10,15.90,32.00,15.20,15.70,15.60,23.25,16.00,16.00,15.10,23.55,78.80
CarolinaCrown,13.90,13.60,27.50,13.60,13.60,13.80,20.50,13.50,12.90,14.50,20.45,68.45
Crossmen,13.50,14.20,27.70,13.10,13.10,14.00,20.10,14.20,13.20,12.90,20.15,67.95
